StateUT,District,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Column1
Andhra Pradesh,Adilabad,2001,50,30,16,149,34,175,0,
Andhra Pradesh,Anantapur,2001,23,30,7,118,24,154,0,
Andhra Pradesh,Chittoor,2001,27,34,14,112,83,186,0,
Andhra Pradesh,Cuddapah,2001,20,20,17,126,38,57,0,
Andhra Pradesh,East Godavari,2001,23,26,12,109,58,247,0,
Andhra Pradesh,Guntakal Rly.,2001,0,0,0,1,0,0,0,
Andhra Pradesh,Guntur,2001,54,51,7,139,129,378,0,
Andhra Pradesh,Hyderabad City,2001,37,39,24,118,27,746,0,
Andhra Pradesh,Karimnagar,2001,56,49,62,414,81,224,0,
Andhra Pradesh,Khammam,2001,47,30,17,180,336,172,0,
Andhra Pradesh,Krishna,2001,37,21,10,208,72,265,0,
Andhra Pradesh,Kurnool,2001,29,47,13,141,107,92,0,
Andhra Pradesh,Mahaboobnagar,2001,59,27,14,176,41,69,0,
Andhra Pradesh,Medak,2001,35,20,26,100,25,192,0,
Andhra Pradesh,Nalgonda,2001,35,19,31,188,59,214,0,
Andhra Pradesh,Nellore,2001,46,80,10,207,228,287,0,
Andhra Pradesh,Nizamabad,2001,21,21,19,55,15,228,0,
Andhra Pradesh,Prakasham,2001,19,12,5,140,100,119,0,
Andhra Pradesh,Ranga Reddy,2001,72,83,37,113,55,421,7,
Andhra Pradesh,Secunderabad Rly.,2001,0,0,1,0,1,0,0,
Andhra Pradesh,Srikakulam,2001,8,12,6,38,47,108,0,
Andhra Pradesh,Vijayawada,2001,25,48,2,84,122,520,0,
Andhra Pradesh,Vijayawada Rly.,2001,1,0,0,1,1,0,0,
Andhra Pradesh,Visakha Rural,2001,12,12,3,67,48,99,0,
Andhra Pradesh,Visakhapatnam,2001,13,6,0,33,462,204,0,
Andhra Pradesh,Vizianagaram,2001,8,2,0,40,22,121,0,
Andhra Pradesh,Warangal,2001,53,25,52,241,0,165,0,
Andhra Pradesh,West Godavari,2001,61,21,15,246,56,348,0,
Andhra Pradesh,Total,2001,871,765,420,3544,2271,5791,7,
Arunachal Pradesh,Changlang,2001,1,2,0,3,0,0,0,
Arunachal Pradesh,Dibang Valley,2001,2,4,0,4,0,2,0,
Arunachal Pradesh,Kameng East,2001,2,5,0,5,0,0,0,
Arunachal Pradesh,Kameng West,2001,0,2,0,0,0,0,0,
Arunachal Pradesh,Lohit,2001,2,6,0,8,0,0,0,
Arunachal Pradesh,Papum Pare,2001,9,5,0,6,0,3,0,
Arunachal Pradesh,Siang East,2001,5,7,0,7,0,2,0,
Arunachal Pradesh,Siang Upper,2001,2,5,0,3,0,0,0,
Arunachal Pradesh,Siang West,2001,4,10,0,25,2,2,0,
Arunachal Pradesh,Subansiri Lower,2001,2,5,0,4,0,0,0,
Arunachal Pradesh,Subansiri Upper,2001,2,1,0,8,0,2,0,
Arunachal Pradesh,Tawang,2001,1,0,0,5,1,0,0,
Arunachal Pradesh,Tirap,2001,1,3,0,0,0,0,0,
Assam,Barpeta,2001,28,88,10,29,0,95,0,
Assam,Bongaigaon,2001,20,21,1,22,0,26,0,
Assam,C.I.D.,2001,0,0,0,0,0,0,0,
Assam,Cachar,2001,45,74,7,80,0,216,0,
Assam,Darrang,2001,48,47,9,56,0,37,0,
Assam,Dhemaji,2001,42,20,0,26,0,0,0,
Assam,Dhubri,2001,43,51,5,49,0,111,0,
Assam,Dibrugarh,2001,35,37,3,41,0,19,0,
Assam,G.R.P.,2001,1,0,0,0,0,0,0,
Assam,Goalpara,2001,35,35,1,54,0,64,0,
Assam,Golaghat,2001,30,40,0,23,0,26,0,
Assam,Guwahati City,2001,37,64,5,67,0,98,0,
Assam,Hailakandi,2001,24,34,2,27,0,28,0,
Assam,Jorhat,2001,42,28,2,44,0,48,0,
Assam,Kamrup,2001,21,65,2,42,0,27,0,
Assam,Karbi Anglong,2001,5,15,4,5,0,8,0,
Assam,Karimganj,2001,33,8,1,9,0,30,0,
Assam,Kokrajhar,2001,14,12,0,37,0,20,0,
Assam,Lakhimpur,2001,64,62,0,22,0,93,0,
Assam,Morigaon,2001,23,37,0,6,0,28,0,
Assam,N.C.Hills,2001,2,4,0,2,0,7,0,
Assam,Nagaon,2001,51,109,1,113,4,132,0,
Assam,Nalbari,2001,30,27,3,16,0,15,0,
Assam,R.P.O.,2001,3,0,0,0,0,0,0,
Assam,Sibsagar,2001,47,64,0,28,0,0,0,
Assam,Sonitpur,2001,53,80,1,43,0,99,0,
Assam,Tinsukia,2001,41,48,2,9,0,21,0,
Bihar,Araria,2001,93,13,11,3,0,50,0,
Bihar,Arwal,2001,0,0,7,11,0,14,0,
Bihar,Aurangabad,2001,16,4,33,13,2,19,0,
Bihar,Bagaha,2001,25,6,0,4,0,2,0,
Bihar,Banka,2001,34,10,9,0,0,16,0,
Bihar,Begusarai,2001,13,7,21,32,0,21,0,
Bihar,Bettiah,2001,20,23,17,23,0,54,8,
Bihar,Bhabhua,2001,10,12,8,7,0,22,0,
Bihar,Bhagalpur,2001,35,9,20,15,0,52,0,
Bihar,Bhojpur,2001,22,13,23,0,4,29,0,
Bihar,Buxar,2001,8,1,15,0,0,0,0,
Bihar,Darbhanga,2001,19,16,37,40,0,34,0,
Bihar,Gaya,2001,25,15,26,27,0,24,0,
Bihar,Gopalganj,2001,13,18,22,0,2,155,0,
Bihar,Jamalpur Rly.,2001,1,0,0,1,0,1,0,
Bihar,Jamui,2001,10,1,16,8,0,15,0,
Bihar,Jehanabad,2001,6,5,25,0,0,4,0,
Bihar,Katihar,2001,51,20,6,6,0,29,0,
Bihar,Katihar Rly.,2001,0,1,0,2,0,0,0,
Bihar,Khagaria,2001,5,6,11,6,0,2,0,
Bihar,Kishanganj,2001,22,16,4,2,1,39,0,
Bihar,Lakhisarai,2001,10,7,6,12,0,5,0,
Bihar,Madhepura,2001,11,15,6,3,0,10,0,
Bihar,Madhubani,2001,13,11,12,41,0,18,0,
Bihar,Motihari,2001,44,35,37,3,1,47,0,
Bihar,Munger,2001,11,15,8,0,0,39,0,
Bihar,Muzaffarpur,2001,73,25,69,81,0,141,6,
Bihar,Muzaffarpur Rly.,2001,2,1,0,4,0,1,0,
Bihar,Nalanda,2001,40,12,47,14,2,54,0,
Bihar,Naugachia,2001,7,9,4,0,0,5,0,
Bihar,Nawadah,2001,15,1,17,7,0,13,1,
Bihar,Patna,2001,27,11,90,47,0,152,39,
Bihar,Patna Rly.,2001,1,1,0,9,0,0,0,
Bihar,Purnea,2001,39,23,8,5,0,22,0,
Bihar,Rohtas,2001,25,18,36,21,0,59,0,
Bihar,Saharsa,2001,12,10,7,9,0,12,0,
Bihar,Samastipur,2001,19,29,11,17,9,35,29,
Bihar,Saran,2001,20,15,67,22,0,101,0,
Bihar,Sheikhpura,2001,3,1,9,0,0,32,0,
Bihar,Sheohar,2001,11,7,3,0,0,2,0,
Bihar,Sitamarhi,2001,23,20,13,1,0,21,0,
Bihar,Siwan,2001,4,26,32,6,0,10,0,
Bihar,Supaul,2001,30,2,7,8,0,18,0,
Bihar,Vaishali,2001,20,28,59,52,0,179,0,
Chhattisgarh,Balrampur,2001,17,1,1,18,0,7,0,
Chhattisgarh,Bilaspur,2001,69,20,7,180,10,94,0,
Chhattisgarh,Bizapur,2001,4,0,0,1,0,0,0,
Chhattisgarh,Dantewara,2001,19,8,1,18,1,3,0,
Chhattisgarh,Dhamtari,2001,22,4,1,41,5,6,0,
Chhattisgarh,Durg,2001,144,42,12,287,38,231,0,
Chhattisgarh,Grp Raipur,2001,0,0,0,4,0,1,0,
Chhattisgarh,Jagdalpur,2001,59,4,3,49,2,14,0,
Chhattisgarh,Janjgir,2001,29,6,9,110,13,116,0,
Chhattisgarh,Jashpur,2001,36,2,2,41,1,4,0,
Chhattisgarh,Kanker,2001,42,4,1,36,3,10,0,
Chhattisgarh,Kawardha,2001,35,0,1,45,4,15,0,
Chhattisgarh,Korba,2001,46,13,1,90,7,31,0,
Chhattisgarh,Koriya,2001,34,7,3,102,2,31,0,
Chhattisgarh,Mahasamund,2001,43,7,6,69,6,21,0,
Chhattisgarh,Raigarh,2001,53,6,2,104,5,22,0,
Chhattisgarh,Raipur,2001,104,28,16,253,42,121,0,
Chhattisgarh,Rajnandgaon,2001,58,3,3,92,12,51,0,
Chhattisgarh,Sarguja,2001,145,16,1,223,10,62,0,
Goa,North Goa,2001,4,1,2,12,2,6,0,
Goa,South Goa,2001,8,5,0,5,5,5,0,
Gujarat,Ahmedabad Commr.,2001,39,117,7,54,27,530,0,
Gujarat,Ahmedabad Rural,2001,5,27,0,26,0,84,0,
Gujarat,Ahwa-Dang,2001,1,1,0,2,0,2,0,
Gujarat,Amreli,2001,2,34,2,21,0,94,0,
Gujarat,Anand,2001,3,28,0,27,3,210,0,
Gujarat,Bharuch,2001,4,34,0,19,0,56,0,
Gujarat,Bhavnagar,2001,9,51,2,36,7,129,0,
Gujarat,Dahod,2001,5,15,0,17,0,11,0,
Gujarat,Gandhinagar,2001,4,12,3,37,7,116,0,
Gujarat,Himatnagar,2001,17,29,4,51,0,165,0,
Gujarat,Jamnagar,2001,20,22,2,18,2,163,0,
Gujarat,Junagadh,2001,14,39,11,44,8,384,0,
Gujarat,Kheda North,2001,11,30,0,43,0,122,0,
Gujarat,Kutch,2001,2,22,2,25,1,176,0,
Gujarat,Mehsana,2001,4,49,5,47,1,188,0,
Gujarat,Narmada,2001,8,8,0,7,1,9,0,
Gujarat,Navsari,2001,2,5,0,6,0,17,0,
Gujarat,Palanpur,2001,18,35,2,50,2,152,0,
Gujarat,Panchmahal,2001,5,46,0,1,23,43,0,
Gujarat,Patan,2001,3,21,0,23,0,78,0,
Gujarat,Porbandar,2001,6,5,0,10,0,64,0,
Gujarat,Rajkot Commr.,2001,5,38,3,19,12,199,0,
Gujarat,Rajkot Rural,2001,20,35,2,45,3,206,0,
Gujarat,Surat Commr.,2001,11,37,20,10,1,132,0,
Gujarat,Surat Rural,2001,26,16,0,11,0,34,0,
Gujarat,Surendranagar,2001,11,24,2,45,3,75,0,
Gujarat,Vadodara Commr.,2001,3,32,0,11,10,90,0,
Gujarat,Vadodara Rural,2001,18,34,0,34,0,81,0,
Gujarat,Valsad,2001,9,11,0,10,0,50,0,
Gujarat,W.Rly,2001,1,0,0,7,0,7,0,
Haryana,Ambala,2001,11,32,11,27,0,132,0,
Haryana,Bhiwani,2001,10,7,33,17,0,43,0,
Haryana,Faridabad,2001,37,53,19,47,242,108,0,
Haryana,Fatehabad,2001,17,13,17,17,0,93,0,
Haryana,Grp,2001,0,2,5,1,26,0,0,
Haryana,Gurgaon,2001,32,32,17,21,21,136,0,
Haryana,Hissar,2001,10,18,24,33,0,117,0,
Haryana,Jhajjar,2001,21,8,20,42,13,122,0,
Haryana,Jind,2001,21,8,11,22,29,67,0,
Haryana,Kaithal,2001,16,8,9,19,0,105,0,
Haryana,Karnal,2001,44,10,18,28,2,97,0,
Haryana,Kurukshetra,2001,31,14,10,28,8,68,0,
Haryana,Mahendragarh,2001,11,8,8,19,0,23,0,
Haryana,Panchkula,2001,6,15,4,23,10,43,0,
Haryana,Panipat,2001,38,10,11,16,11,92,0,
Haryana,Rewari,2001,11,11,12,17,0,14,0,
Haryana,Rohtak,2001,28,6,17,26,20,41,0,
Haryana,Sirsa,2001,17,7,12,23,0,98,0,
Haryana,Sonipat,2001,15,12,18,22,14,51,0,
Haryana,Yamunanagar,2001,22,23,9,30,5,63,0,
Himachal Pradesh,Chamba,2001,12,15,0,23,1,21,0,
Himachal Pradesh,Hamirpur,2001,3,3,1,17,2,33,0,
Himachal Pradesh,Kangra,2001,18,21,1,43,0,58,0,
Himachal Pradesh,Kinnaur,2001,6,3,0,4,0,2,0,
Himachal Pradesh,Kullu,2001,13,6,0,12,0,2,0,
Himachal Pradesh,Lahaul-Spiti,2001,2,1,0,0,0,1,0,
Himachal Pradesh,Mandi,2001,16,10,0,59,4,56,0,
Himachal Pradesh,Shimla,2001,18,11,2,50,1,31,0,
Himachal Pradesh,Sirmaur,2001,10,11,3,33,4,22,0,
Himachal Pradesh,Solan,2001,12,10,2,23,1,24,0,
Himachal Pradesh,Una,2001,9,5,0,11,0,20,0,
Jammu & Kashmir,Anantnag,2001,6,36,0,53,12,0,0,
Jammu & Kashmir,Awantipora,2001,1,13,0,8,2,0,0,
Jammu & Kashmir,Baramulla,2001,28,59,0,93,14,0,0,
Jammu & Kashmir,Border,2001,12,10,0,15,5,3,0,
Jammu & Kashmir,Budgam,2001,7,34,0,35,9,0,0,
Jammu & Kashmir,Crime Jammu,2001,0,0,0,0,0,0,0,
Jammu & Kashmir,Crime Srinagar,2001,0,0,0,0,0,0,0,
Jammu & Kashmir,Doda,2001,7,15,0,6,2,1,0,
Jammu & Kashmir,Ganderbal,2001,5,31,0,30,4,0,0,
Jammu & Kashmir,Jammu,2001,13,43,5,40,94,26,0,
Jammu & Kashmir,Kargil,2001,0,1,0,1,0,0,0,
Jammu & Kashmir,Kathua,2001,13,10,3,14,4,1,0,
Jammu & Kashmir,Kulgam,2001,6,31,0,7,11,0,0,
Jammu & Kashmir,Kupwara,2001,6,29,0,62,2,0,0,
Jammu & Kashmir,Leh,2001,0,1,0,1,0,0,0,
Jammu & Kashmir,Poonch,2001,13,10,0,4,6,2,0,
Jammu & Kashmir,Pulwama,2001,7,33,0,19,12,0,0,
Jammu & Kashmir,Railways,2001,0,0,0,0,0,0,0,
Jammu & Kashmir,Rajouri,2001,17,20,3,7,6,6,0,
Jammu & Kashmir,Ramban,2001,3,3,0,3,2,0,0,
Jammu & Kashmir,Reasi,2001,7,9,0,5,4,0,0,
Jammu & Kashmir,Srinagar,2001,8,102,0,207,88,2,0,
Jammu & Kashmir,Udhampur,2001,10,14,2,12,11,9,0,
Jharkhand,Bokaro,2001,26,32,25,24,2,45,0,
Jharkhand,Chaibasa,2001,32,10,0,6,0,0,0,
Jharkhand,Chatra,2001,6,3,7,0,0,6,0,
Jharkhand,Deoghar,2001,22,0,10,13,1,10,0,
Jharkhand,Dhanbad,2001,32,45,30,47,0,18,0,
Jharkhand,Dhanbad Rly.,2001,2,0,0,0,0,0,0,
Jharkhand,Dumka,2001,27,0,3,20,0,23,0,
Jharkhand,Garhwa,2001,11,2,15,0,0,5,0,
Jharkhand,Giridih,2001,42,10,30,13,0,57,0,
Jharkhand,Godda,2001,37,26,1,0,0,0,0,
Jharkhand,Gumla,2001,29,11,0,2,0,10,1,
Jharkhand,Hazaribagh,2001,41,31,31,15,0,18,0,
Jharkhand,Jamshedpur,2001,50,51,6,58,0,88,0,
Jharkhand,Jamshedpur Rly.,2001,1,0,0,1,0,0,0,
Jharkhand,Jamtara,2001,18,11,5,13,0,20,0,
Jharkhand,Koderma,2001,2,2,11,8,1,29,0,
Jharkhand,Latehar,2001,12,2,6,0,0,0,0,
Jharkhand,Lohardagga,2001,12,8,0,4,0,10,0,
Jharkhand,Pakur,2001,23,0,7,0,0,18,0,
Jharkhand,Palamu,2001,15,2,18,8,0,28,1,
Jharkhand,Ranchi,2001,73,1,4,24,1,78,0,
Jharkhand,Sahebganj,2001,20,5,3,23,0,21,0,
Jharkhand,Saraikela,2001,17,15,4,18,0,0,0,
Jharkhand,Simdega,2001,17,12,1,0,0,0,0,
Karnataka,Bagalkot,2001,2,7,1,39,0,50,0,
Karnataka,Bangalore Commr.,2001,40,56,40,223,51,229,0,
Karnataka,Bangalore Rural,2001,13,10,30,90,0,123,0,
Karnataka,Belgaum,2001,8,12,4,62,0,125,0,
Karnataka,Bellary,2001,16,11,5,82,0,49,0,
Karnataka,Bidar,2001,7,10,2,90,3,51,0,
Karnataka,Bijapur,2001,6,19,1,65,0,92,0,
Karnataka,Chamarajnagar,2001,4,5,7,43,0,15,0,
Karnataka,Chickmagalur,2001,8,7,4,57,8,83,0,
Karnataka,Chitradurga,2001,18,0,2,48,0,35,0,
Karnataka,Dakshin Kannada,2001,3,6,1,24,0,25,0,
Karnataka,Davanagere,2001,22,13,8,84,5,77,0,
Karnataka,Dharwad Commr.,2001,4,4,2,3,0,24,0,
Karnataka,Dharwad Rural,2001,3,2,3,8,0,8,0,
Karnataka,Gadag,2001,2,2,3,10,0,18,0,
Karnataka,Gulbarga,2001,20,21,6,143,1,104,0,
Karnataka,Hassan,2001,20,0,4,75,1,68,0,
Karnataka,Haveri,2001,3,11,5,42,0,32,0,
Karnataka,K.G.F.,2001,1,7,4,12,0,20,0,
Karnataka,Kodagu,2001,4,4,4,22,0,14,0,
Karnataka,Kolar,2001,17,18,18,42,0,39,0,
Karnataka,Koppal,2001,6,12,5,40,1,23,0,
Karnataka,Mandya,2001,15,1,7,50,0,72,0,
Karnataka,Mysore Commr.,2001,2,7,9,8,1,48,0,
Karnataka,Mysore Rural,2001,12,4,6,79,2,51,0,
Karnataka,Raichur,2001,12,5,1,63,4,52,0,
Karnataka,Shimoga,2001,12,10,6,65,0,134,0,
Karnataka,Tumkur,2001,6,4,28,53,0,44,0,
Karnataka,Udupi,2001,2,0,0,16,2,16,0,
Karnataka,Uttar Kannada,2001,4,3,3,27,2,34,0,
Kerala,Alapuzha,2001,21,6,1,162,2,105,0,
Kerala,Cbcid,2001,2,0,0,0,0,4,0,
Kerala,Ernakulam,2001,38,7,3,162,3,161,0,
Kerala,Idukki,2001,34,0,0,145,16,127,0,
Kerala,Kannur,2001,42,7,0,77,7,157,0,
Kerala,Kasargod,2001,28,1,0,0,0,66,0,
Kerala,Kollam,2001,55,9,3,235,0,315,0,
Kerala,Kottayam,2001,22,12,2,125,8,82,0,
Kerala,Kozhikode,2001,39,10,2,118,8,319,0,
Kerala,Malappuram,2001,71,4,3,92,3,448,0,
Kerala,Palakkad,2001,63,10,5,112,10,215,0,
Kerala,Pathanamthitta,2001,12,0,0,90,3,95,0,
Kerala,Thrissur,2001,42,9,2,223,16,198,0,
Kerala,Trivandrum,2001,57,21,6,345,2,210,0,
Kerala,Wayanadu,2001,35,1,0,56,3,59,0,
Madhya Pradesh,Balaghat,2001,87,11,3,157,12,72,0,
Madhya Pradesh,Barwani,2001,34,2,5,81,9,18,0,
Madhya Pradesh,Betul,2001,95,16,7,135,4,71,0,
Madhya Pradesh,Bhind,2001,31,20,34,80,2,54,0,
Madhya Pradesh,Bhopal,2001,106,48,15,252,56,132,0,
Madhya Pradesh,Bhopal Rly.,2001,1,2,0,10,3,0,0,
Madhya Pradesh,Chhatarpur,2001,65,23,20,193,10,46,0,
Madhya Pradesh,Chhindwara,2001,93,16,10,203,32,109,0,
Madhya Pradesh,Damoh,2001,66,10,28,189,0,58,0,
Madhya Pradesh,Datiya,2001,12,8,8,57,0,18,0,
Madhya Pradesh,Dewas,2001,78,11,15,279,80,96,0,
Madhya Pradesh,Dhar,2001,68,18,41,168,21,88,0,
Madhya Pradesh,Dindori,2001,20,2,0,53,6,4,0,
Madhya Pradesh,Guna,2001,124,15,7,317,22,95,0,
Madhya Pradesh,Gwalior,2001,59,22,20,139,8,49,0,
Madhya Pradesh,Harda,2001,28,2,9,35,0,27,0,
Madhya Pradesh,Hoshangabad,2001,65,13,9,109,6,31,0,
Madhya Pradesh,Indore,2001,84,35,25,215,63,161,0,
Madhya Pradesh,Indore Rly.,2001,2,0,0,5,1,0,0,
Madhya Pradesh,Jabalpur,2001,108,20,28,264,50,81,0,
Madhya Pradesh,Jabalpur Rly.,2001,0,0,1,4,0,0,0,
Madhya Pradesh,Jhabua,2001,44,80,5,127,4,24,0,
Madhya Pradesh,Katni,2001,25,3,11,106,12,59,0,
Madhya Pradesh,Khandwa,2001,63,12,11,184,15,49,0,
Madhya Pradesh,Khargon,2001,47,14,5,164,29,21,0,
Madhya Pradesh,Mandla,2001,64,9,4,151,19,46,0,
Madhya Pradesh,Mandsaur,2001,41,8,4,102,11,30,0,
Madhya Pradesh,Morena,2001,35,18,29,77,2,34,0,
Madhya Pradesh,Narsinghpur,2001,70,4,22,156,16,40,0,
Madhya Pradesh,Neemuch,2001,37,7,1,83,18,62,0,
Madhya Pradesh,Panna,2001,44,10,19,104,2,31,0,
Madhya Pradesh,Raisen,2001,79,9,20,194,31,50,0,
Madhya Pradesh,Rajgarh,2001,95,9,7,196,26,49,0,
Madhya Pradesh,Ratlam,2001,70,13,4,125,28,53,0,
Madhya Pradesh,Rewa,2001,31,18,18,105,2,56,0,
Madhya Pradesh,Sagar,2001,141,16,29,509,0,142,0,
Madhya Pradesh,Satna,2001,58,5,19,157,6,65,0,
Madhya Pradesh,Seoni,2001,52,2,10,106,23,25,0,
Madhya Pradesh,Shahdol,2001,63,13,9,216,3,87,0,
Madhya Pradesh,Shajapur,2001,90,8,8,153,36,65,0,
Madhya Pradesh,Sheopur,2001,21,3,6,52,0,14,0,
Madhya Pradesh,Shivpuri,2001,72,11,14,172,2,26,0,
Madhya Pradesh,Sidhi,2001,42,30,27,105,2,66,0,
Madhya Pradesh,Sihore,2001,59,27,5,130,17,45,0,
Madhya Pradesh,Tikamgarh,2001,86,4,15,177,2,27,0,
Madhya Pradesh,Ujjain,2001,59,33,7,161,33,109,0,
Madhya Pradesh,Umariya,2001,25,2,2,61,5,21,0,
Madhya Pradesh,Vidisha,2001,112,6,13,245,22,56,0,
Maharashtra,Ahmednagar,2001,44,25,0,74,2,496,0,
Maharashtra,Akola,2001,15,14,2,109,7,189,0,
Maharashtra,Amravati Commr.,2001,23,23,10,43,26,55,0,
Maharashtra,Amravati Rural,2001,42,25,4,99,38,92,0,
Maharashtra,Aurangabad Commr.,2001,14,14,4,33,12,102,0,
Maharashtra,Aurangabad Rural,2001,28,6,6,53,12,247,0,
Maharashtra,Beed,2001,22,15,2,78,15,177,0,
Maharashtra,Bhandara,2001,39,1,5,71,37,60,0,
Maharashtra,Buldhana,2001,22,18,35,118,21,223,0,
Maharashtra,Chandrapur,2001,43,7,2,102,28,144,0,
Maharashtra,Dhule,2001,16,6,6,17,8,127,0,
Maharashtra,Gadchiroli,2001,27,6,0,55,17,57,0,
Maharashtra,Gondia,2001,23,17,4,85,22,80,0,
Maharashtra,Hingoli,2001,20,8,2,44,4,134,0,
Maharashtra,Jalgaon,2001,19,12,5,76,31,389,0,
Maharashtra,Jalna,2001,16,8,5,56,7,172,0,
Maharashtra,Kolhapur,2001,26,13,19,46,7,80,0,
Maharashtra,Latur,2001,7,22,38,50,7,150,0,
Maharashtra,Mumbai,2001,127,12,18,274,44,198,0,
Maharashtra,Mumbai Rly.,2001,2,0,0,5,0,0,0,
Maharashtra,Nagpur Commr.,2001,39,51,7,75,56,218,0,
Maharashtra,Nagpur Rly.,2001,2,0,2,4,0,0,0,
Maharashtra,Nagpur Rural,2001,81,16,3,131,294,141,0,
Maharashtra,Nanded,2001,23,36,21,85,22,202,0,
Maharashtra,Nandurbar,2001,16,6,2,27,1,78,0,
Maharashtra,Nasik Commr.,2001,9,9,3,19,2,99,0,
Maharashtra,Nasik Rural,2001,39,10,7,74,37,339,0,
Maharashtra,Navi Mumbai,2001,17,7,5,23,5,57,0,
Maharashtra,Osmanabad,2001,16,7,2,52,6,102,0,
Maharashtra,Parbhani,2001,25,16,1,57,10,120,0,
Maharashtra,Pune Commr.,2001,56,28,2,54,105,147,1,
Maharashtra,Pune Rly.,2001,0,0,0,3,0,0,0,
Maharashtra,Pune Rural,2001,42,17,5,64,11,165,0,
Maharashtra,Raigad,2001,20,1,1,29,7,55,0,
Maharashtra,Ratnagiri,2001,10,4,0,32,19,62,0,
Maharashtra,Sangli,2001,32,8,12,54,22,96,0,
Maharashtra,Satara,2001,32,7,13,49,9,179,0,
Maharashtra,Sindhudurg,2001,7,2,0,20,13,8,0,
Maharashtra,Solapur Commr.,2001,16,11,6,15,4,62,0,
Maharashtra,Solapur Rural,2001,35,14,6,40,12,90,0,
Maharashtra,Thane Commr.,2001,39,37,6,69,43,212,0,
Maharashtra,Thane Rural,2001,65,16,6,76,25,104,0,
Maharashtra,Wardha,2001,35,12,9,98,35,89,0,
Maharashtra,Washim,2001,15,13,10,60,10,116,0,
Maharashtra,Yavatmal,2001,56,31,12,125,27,177,0,
Manipur,Bishnupur,2001,1,3,0,0,0,1,0,
Manipur,Chandel,2001,0,1,0,0,0,0,0,
Manipur,Churachandpur,2001,1,0,0,0,0,0,0,
Manipur,Imphal(East),2001,7,6,0,2,0,1,0,
Manipur,Imphal(West),2001,7,37,0,17,0,3,0,
Manipur,Senapati,2001,0,0,0,0,0,0,0,
Manipur,Tamenglong,2001,0,0,0,0,0,0,0,
Manipur,Thoubal,2001,4,14,0,1,0,0,0,
Manipur,Ukhrul,2001,0,1,0,1,0,0,0,
Meghalaya,Garo Hills East,2001,2,0,0,2,0,0,0,
Meghalaya,Garo Hills South,2001,1,0,0,0,0,1,0,
Meghalaya,Garo Hills West,2001,5,0,0,8,0,0,0,
Meghalaya,Jaintia Hills,2001,7,4,0,3,0,0,0,
Meghalaya,Khasi Hills East,2001,5,5,0,8,0,3,0,
Meghalaya,Khasi Hills West,2001,4,0,0,2,0,0,0,
Meghalaya,Ri-Bhoi,2001,2,2,0,2,0,0,0,
Mizoram,Aizawl,2001,26,0,0,13,0,1,0,
Mizoram,Champhai,2001,7,0,0,7,0,0,0,
Mizoram,Kolasib,2001,6,0,0,15,0,0,0,
Mizoram,Lawngtlai,2001,2,0,0,0,0,0,0,
Mizoram,Lunglei,2001,3,0,0,11,0,0,0,
Mizoram,Mamit,2001,0,0,0,0,0,15,2,
Mizoram,Saiha,2001,3,0,0,6,0,0,0,
Mizoram,Serchhip,2001,5,1,0,0,0,0,1,
